500 200 50
388.54667598683244 407.81234771942644 552.0128885436151 552.0128885436151
491.2827195571062 451.8932278653714 548.3908061621152 548.3908061621152
578.210734415083 532.8154914565175 529.5003677333956 529.5003677333956
476.3577911222457 529.4688339543541 422.77609486577524 422.77609486577524
461.33529933508606 545.4876025501085 401.7910869035311 401.7910869035311
471.30223294936314 469.0777144578278 381.44698955005185 381.44698955005185
535.9374603781324 620.5907058802093 394.41529543125944 394.41529543125944
439.42967349182675 480.8546607518824 474.77971071220276 474.77971071220276
586.3030530211321 496.2394249727537 503.4675540164035 503.4675540164035
537.4721950305728 449.5004704527226 478.30631131757156 478.30631131757156
504.1640826053888 474.3992948820617 493.00834323047957 493.00834323047957
535.3957084417763 430.31387697667225 479.51334848982805 479.51334848982805
487.87192026726063 502.23749557552657 491.2778196392088 491.2778196392088
470.51300990263024 509.50781928561395 455.8256766771739 455.8256766771739
540.4863189096258 514.7867705935171 443.230301320885 443.230301320885
487.1122961453025 494.31619385167136 454.0290855671464 454.0290855671464
546.5027786677497 443.4855265342732 590.812655690409 590.812655690409
526.1352815763995 550.7975135577803 501.2844062808399 501.2844062808399
543.0973791401741 463.8381090402874 463.32916885652224 463.32916885652224
463.0972642394125 557.8385274955807 536.3890990679228 536.3890990679228
569.9471415565399 581.1669023523955 530.640625053129 530.640625053129
409.85620501239714 434.59170520788405 513.7561701578579 513.7561701578579
424.33056030608645 488.1588289813987 561.5102707865785 561.5102707865785
551.0794658568055 417.79384871127957 495.9322284884453 495.9322284884453
453.1358819754069 539.6107329357889 449.320441771763 449.320441771763
526.9012586359406 514.9641932665937 447.21408031605887 447.21408031605887
503.89059125619605 493.4706843746507 516.4043154885654 516.4043154885654
521.0044592685546 431.6034173876856 519.7139193752952 519.7139193752952
552.1537765224555 588.3771777015327 505.12256976856065 505.12256976856065
504.79734074043176 509.26259947216994 554.6453511636798 554.6453511636798
460.62869541087355 485.3584960266115 444.82165328658294 444.82165328658294
456.50284681005877 499.95103301413155 495.8946058346924 495.8946058346924
430.19528643674187 488.30225659392704 469.77766379226455 469.77766379226455
493.62205227140265 555.0393843879002 461.8502292594657 461.8502292594657
537.4103488713878 491.7465018264869 520.4686006171343 520.4686006171343
567.3426190544857 427.792290857047 481.95886736771985 481.95886736771985
503.28039226184785 553.94864033276 564.86289089553 564.86289089553
485.23562655138676 388.7801192864884 373.9754891015951 373.9754891015951
392.4537342196345 591.7810279849001 619.3355525980444 619.3355525980444
493.467557271855 477.37412957226087 428.7084391661405 428.7084391661405
406.87952057140683 495.0867506907156 469.268696393063 469.268696393063
467.8120027985056 474.045182063865 465.49450875203706 465.49450875203706
444.0517765514452 407.8205678336854 485.1051371066134 485.1051371066134
519.3311617798272 537.9694872485053 524.7654392450486 524.7654392450486
463.6415612079089 477.9117342069345 467.66582680788815 467.66582680788815
528.0430892150263 532.6544580985227 496.6457013611259 496.6457013611259
500.39368914251014 480.2830682445228 521.2332366656428 521.2332366656428
517.9141719865987 474.39033124073296 438.7057972057861 438.7057972057861
531.2685567670129 467.56403378757426 523.333928869563 523.333928869563
472.5917419731927 557.3654502083829 520.791253320884 520.791253320884
587.780147369846 428.9759718922441 488.9439446622915 488.9439446622915
399.5221876087909 407.86967257085854 548.0643158895926 548.0643158895926
460.4376106806285 509.03194108479255 407.30188668273894 407.30188668273894
493.848421461079 535.5656101036463 443.0355668886039 443.0355668886039
623.6201468902555 471.82378595907954 471.13254647418603 471.13254647418603
505.0113440069782 486.0907911280451 540.3902161464108 540.3902161464108
595.5476076797753 498.6658508695967 428.6676767712012 428.6676767712012
570.1459755504561 558.9647013020226 524.1099282151109 524.1099282151109
513.5712800083144 522.3604888120606 555.1281091581307 555.1281091581307
531.5436082996564 564.8284366553116 427.3908801900703 427.3908801900703
543.1472846224926 529.4540716374073 498.44021647818835 498.44021647818835
519.2794086220737 583.6611204714982 522.3317705319337 522.3317705319337
488.61847244774077 512.8152857186277 519.533485436892 519.533485436892
568.7593247619226 485.4758216881421 535.203440034504 535.203440034504
385.54008963606145 465.4695081311929 550.4419051061094 550.4419051061094
521.4909565848519 529.7570927200635 616.0378698277306 616.0378698277306
564.2788036648933 545.1484295957702 605.782019156338 605.782019156338
552.4629082579039 490.3449877158487 417.44308322737686 417.44308322737686
523.4671108478109 523.0641487204462 425.1079057475802 425.1079057475802
457.62498264199354 527.2986281565031 423.8804672062328 423.8804672062328
498.8099882965624 551.0843125564193 542.7499803189469 542.7499803189469
484.757911724132 520.1720691261662 408.26707688744585 408.26707688744585
592.2002651203859 530.5708345927727 403.2061424911342 403.2061424911342
455.47241083336047 531.4089502597723 436.63689624525284 436.63689624525284
387.80773328199393 503.6313898139259 527.7658638561192 527.7658638561192
441.84072825737263 611.3429653842344 544.8155038632557 544.8155038632557
502.5165028959478 569.3433961179616 504.7722714766511 504.7722714766511
507.6788046540003 456.7442166016828 528.4866552250055 528.4866552250055
487.4126707971121 509.51150506618967 426.450596642668 426.450596642668
478.3542070004149 504.32878341186273 378.3705870042663 378.3705870042663
480.9320823229608 469.4216587857853 428.3258442626051 428.3258442626051
494.44440652229326 411.65317634398286 431.03829538354626 431.03829538354626
634.270926870917 395.51167560884676 495.0916019297872 495.0916019297872
430.37600270113813 437.4589705146352 516.7033771523238 516.7033771523238
450.59803075586206 513.8293345299511 485.2931839692336 485.2931839692336
351.46963985474156 459.15516011321284 502.1143081341398 502.1143081341398
538.4531585211378 497.7226369773957 429.56895339524584 429.56895339524584
409.0878161141201 522.6711501296728 487.7972750103624 487.7972750103624
378.71483077058963 466.8080363955694 446.30833135660095 446.30833135660095
372.14585233826654 476.5766344518831 509.18951676906323 509.18951676906323
564.5356419889579 581.6648028118784 524.375841410098 524.375841410098
400.11220480821265 445.77469373579845 470.95075607851413 470.95075607851413
559.4020003154085 517.2317254216551 529.31565117023 529.31565117023
485.78805541956115 391.3793929417993 513.6023648575143 513.6023648575143
483.03192286188516 476.25681500952794 522.4284149716898 522.4284149716898
481.5352527883903 494.4071421637575 496.78906401170127 496.78906401170127
530.7789012426537 484.22522060491474 597.702880464473 597.702880464473
425.6633110357921 470.0293489550527 469.6202848505456 469.6202848505456
461.0722737288893 528.468173370912 442.4359129901481 442.4359129901481
526.1539557723373 497.1386385353602 523.2677039548945 523.2677039548945
556.5113393122281 489.25067311935334 522.6946493008185 522.6946493008185
463.9799963462567 561.9545847209353 516.3342037170999 516.3342037170999
451.11534659809774 494.9205733035229 606.3277328749581 606.3277328749581
587.2326048117599 428.0103625958477 535.3496299771309 535.3496299771309
527.6523168321702 499.3506564599468 383.2791077547792 383.2791077547792
444.1340104159065 506.6348855625457 448.91952183096265 448.91952183096265
486.04649117224886 542.1001544193972 481.1963552191429 481.1963552191429
429.7922701626733 508.4005633618674 443.61071023258677 443.61071023258677
502.8551168598168 479.76487499469715 464.48935679813883 464.48935679813883
572.0686514404288 587.7679829781251 481.7691808474729 481.7691808474729
521.2294650610218 515.101440240033 448.7419344477976 448.7419344477976
460.26240752758565 469.3167336102324 523.1906210351029 523.1906210351029
554.5748017479743 469.6473961479515 431.8728257531889 431.8728257531889
466.4227978874115 441.93810149179274 506.3822825164257 506.3822825164257
499.28134880827054 464.64111697037987 561.341276478871 561.341276478871
473.9322831029596 585.1692374034367 536.7679810637343 536.7679810637343
573.7614527290418 483.51863095427757 548.3172557675579 548.3172557675579
518.8555849877972 470.9825439118948 412.7528441176481 412.7528441176481
443.3464339429229 482.92754057256207 453.0343542577889 453.0343542577889
583.910953368872 491.6797975942947 567.8968614659434 567.8968614659434
499.6624678028966 423.0370011041886 506.1456546622346 506.1456546622346
496.63058519435197 538.9916757853631 482.2706039322052 482.2706039322052
567.9677226549976 484.8268697287082 508.8379351304794 508.8379351304794
411.9956017936148 549.1769141386033 512.4948757227388 512.4948757227388
587.7086422078221 471.9147840688114 479.61377858871873 479.61377858871873
529.6680835696658 499.45465183424056 502.8965398141141 502.8965398141141
488.1195764707278 481.0987529565198 426.1159561531396 426.1159561531396
553.8469389384803 493.69687920817125 447.66265800390704 447.66265800390704
491.7605361981137 510.6015251820897 509.19044851336844 509.19044851336844
544.0464239931435 528.4109343610567 503.1326115416622 503.1326115416622
405.8132712818676 485.02882702569315 483.39036188033424 483.39036188033424
517.4800744296364 528.2846341874334 533.8785449834089 533.8785449834089
522.8622528667089 497.1003149612458 480.10236875806413 480.10236875806413
480.8233151127022 559.7666551449502 519.5408922237813 519.5408922237813
456.9589428360337 589.2138925466643 434.3816227311105 434.3816227311105
451.34572697876314 516.3632376336457 516.1806206532567 516.1806206532567
500.6598133941224 497.39696347316755 444.8800650597747 444.8800650597747
447.1176550596267 535.5527159484752 501.210095774028 501.210095774028
554.575897213319 507.1516251655943 502.76727846691017 502.76727846691017
546.8482205937194 478.20795547244416 526.0209911486127 526.0209911486127
551.6172367479999 464.6108822164815 464.05152292950004 464.05152292950004
498.992516832101 502.9196792640592 583.6152411500433 583.6152411500433
577.2042528314585 466.5859002504608 428.05195396773274 428.05195396773274
507.2145617490233 401.0518520477228 539.5661106389362 539.5661106389362
451.2818572379081 545.1872134900929 517.9191964560426 517.9191964560426
551.2342095328953 445.6077765211462 458.8732610735314 458.8732610735314
506.1654774107945 552.581498245731 483.2595268729109 483.2595268729109
495.20784137951574 562.2286063463641 433.4174567704867 433.4174567704867
524.1842256115723 517.2903699772088 458.7958782831675 458.7958782831675
535.4380847130105 485.02644775606706 457.9365635403092 457.9365635403092
450.72209238521793 533.6974181141513 517.8517980885429 517.8517980885429
550.4755211187704 397.8075288461688 473.8999163887637 473.8999163887637
479.21799629561383 506.3505437323454 478.5816577017153 478.5816577017153
477.4781380821192 509.0885114216103 444.2973571405952 444.2973571405952
477.47535889261235 528.3332990349852 525.2770341815304 525.2770341815304
432.9359514203552 523.1451183391989 413.35988066065295 413.35988066065295
503.6835207517295 555.6509414901167 609.5071944006459 609.5071944006459
523.6764855136425 504.6904226471314 486.22611537386604 486.22611537386604
484.2227062971247 532.475754508886 513.2656561566482 513.2656561566482
594.4328984319768 469.98055702325286 531.0666753930107 531.0666753930107
527.9739090407404 561.6160734668515 466.49583056643485 466.49583056643485
562.843403745427 527.7873767593912 444.1232927115864 444.1232927115864
571.4315111276794 440.8374732750537 552.236062903299 552.236062903299
533.5557044374365 460.37899726912536 513.7592894613017 513.7592894613017
565.0233259694709 492.68130038300563 541.4889169194083 541.4889169194083
392.0926829460813 495.19863253414275 531.0465886572268 531.0465886572268
514.0580064428378 433.13107793994493 515.7150984471745 515.7150984471745
513.032140404206 588.523194144695 425.92379571503716 425.92379571503716
538.4291590894127 463.1966627002541 441.1083767674753 441.1083767674753
530.1230451351825 440.19537725831105 461.2706304768359 461.2706304768359
456.6239394983276 546.8001816459118 525.3789651777452 525.3789651777452
440.87615892227683 418.4612009648737 506.68009254944866 506.68009254944866
482.349806821974 500.3245525837226 517.7692311948397 517.7692311948397
529.645757392823 509.14535939042895 482.8452349288406 482.8452349288406
408.0380194449913 479.905986633667 572.8875379829163 572.8875379829163
507.4704457986145 429.1747204081567 434.3096574629277 434.3096574629277
461.64881669001295 453.5690324073492 482.8976391083274 482.8976391083274
493.74237320375494 485.0546433874795 518.2897519614692 518.2897519614692
456.92536376333106 452.04859849947763 516.0674323399273 516.0674323399273
543.9726956860324 455.4033210732168 478.8826644031864 478.8826644031864
531.8003559118578 554.2980250135676 467.70133840303953 467.70133840303953
458.8184464414742 537.6355232546292 488.6998462136434 488.6998462136434
490.5333314658429 428.3933729228304 474.068245723658 474.068245723658
487.92058759226245 585.1240256705528 545.158570753224 545.158570753224
423.5497428001639 537.872428946749 537.0799152418598 537.0799152418598
412.3825036738523 457.41541266011495 372.4322094528886 372.4322094528886
520.2102980287398 567.7199905941907 585.2063968877413 585.2063968877413
481.5708556020913 520.5880343408766 494.15008609783683 494.15008609783683
503.9593596227685 455.0612411761434 523.7705774059037 523.7705774059037
509.2051180199433 502.92490794699995 525.1119371379633 525.1119371379633
509.3247385295656 496.7645325455982 527.8219140820331 527.8219140820331
461.8273382467011 476.05765214506516 515.359890979823 515.359890979823
463.4044765828322 604.3321778632437 480.5341854073998 480.5341854073998
566.412699039491 399.62490751366374 475.06444872061775 475.06444872061775
580.9331134494785 478.4861549802582 540.1884021613588 540.1884021613588
409.0966539929 533.4430345156951 427.9917387968396 427.9917387968396
533.2970125972711 542.212236193824 474.100570106626 474.100570106626
